Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,EL
0.3,0.4,4.4,0.6,1.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,495.0,190.0,12.0,10.0
0.04,0.08,1.15,0.31,2.41,0.05,6.85,0.0,0.03,0.13,0.0,0.0,0.001,0.0,0.0,0.0,0.0,88.949,488.0,121.0,24.0,9.5
1.35,0.25,0.275,0.7,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.575,545.0,160.0,18.0,10.0
0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0,0.0,0.0,0.0,93.49,520.0,165.0,60.0,12.5
0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52,470.0,120.0,24.0,3.8
0.0,0.0,6.3,0.3,0.0,0.0,0.0,0.1,0.06,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.06,535.0,175.0,18.0,10.0
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05,495.0,190.0,12.0,12.0
0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,520.0,175.0,8.0,12.0
0.0,0.0,1.2,0.0,2.5,0.0,0.0,0.0,0.0,0.12,2.5,0.0,0.0,0.0,0.0,0.0,0.0,93.68,500.0,160.0,36.0,16.0
0.03,0.08,1.18,0.51,2.41,0.1,6.57,0.0,0.05,0.16,0.0,0.0,0.001,0.0,0.0,0.0,0.0,88.909,488.0,121.0,24.0,7.7
1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,505.0,170.0,6.0,14.0
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01,500.0,180.0,6.0,23.6
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,120.0,0.17,30.0
0.3,0.4,0.1,0.25,2.8,0.2,4.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.85,495.0,120.0,22.0,11.0
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,120.0,5.0,24.1
0.04,0.07,1.2,0.0,2.42,0.04,6.66,0.0,0.03,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,89.536,488.0,121.0,24.0,13.7
0.0,0.0,4.09,0.0,0.7,0.0,0.39,0.0,0.0,0.14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,93.7,500.0,25.0,0.0,11.2
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,185.0,48.0,5.0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,520.0,175.0,8.0,10.0
0.0,0.93,2.23,0.0,1.21,0.0,0.0,0.0,0.0,0.3,0.0,1.09,0.0,0.3,0.0,0.0,0.0,93.94,510.0,200.0,18.0,6.0
0.05,0.05,0.98,0.32,1.45,0.0,2.88,0.0,0.0,0.11,1.81,0.0,0.0,0.0,0.0,0.0,0.0,92.35,525.0,160.0,40.0,9.1
0.04,0.07,1.19,0.0,2.42,0.04,6.9,0.0,0.04,0.08,0.0,0.0,0.002,0.0,0.0,0.0,0.0,89.218,488.0,121.0,24.0,11.3
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,160.0,10.0,15.5
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88,530.0,100.0,48.0,41.6
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,160.0,18.0,17.7
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.906,495.0,190.0,12.0,11.5
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,525.0,175.0,0.5,33.0
0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,520.0,175.0,8.0,22.0
0.85,1.0,4.45,0.8,0.05,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.35,515.0,170.0,10.0,24.0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,525.0,175.0,1.5,22.5
1.0,0.25,0.1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.45,505.0,170.0,6.0,8.2
0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24,0.0,0.0,0.0,91.89,470.0,120.0,24.0,10.8
0.2,0.3,6.3,0.3,0.02,0.0,0.1,0.1,0.08,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.425,535.0,190.0,26.0,7.0
1.21,0.179,1.09,0.0,1.57,0.178,0.0,0.158,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.587,550.0,170.0,24.0,15.2
0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.11,480.0,90.0,1.0,24.1
0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22,0.0,0.0,0.0,89.56,470.0,25.0,0.0,19.2
0.85,1.3,2.2,0.2,1.6,0.0,0.3,0.0,0.15,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,92.2,527.5,172.5,11.0,3.0
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,160.0,2.0,14.2
0.4,0.075,0.2,0.05,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,520.0,175.0,8.0,6.3
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,91.03,470.0,120.0,12.0,12.8
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.62,490.0,120.0,24.0,11.0
0.04,0.08,1.22,0.39,2.61,0.0,6.76,0.0,0.02,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,88.879,488.0,121.0,24.0,11.8
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.825,545.0,160.0,18.0,10.0
0.4,0.175,0.1,0.1,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.55,520.0,175.0,8.0,12.0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,525.0,175.0,16.0,16.5
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,140.0,16.0,17.0
0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.518,470.0,120.0,0.5,15.81
0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.53,0.0,0.0,0.0,0.0,0.0,0.0,95.27,510.0,150.0,24.0,4.0
0.05,0.06,1.39,0.0,2.6,0.11,6.97,0.0,0.03,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,88.788,488.0,121.0,24.0,12.5
0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.78999999999999,470.0,25.0,0.0,25.2
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,160.0,48.0,17.1
0.6,0.0,0.28,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.92,530.0,160.0,18.0,22.0
0.0,0.0,0.0,0.5,2.1,0.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,530.0,175.0,7.0,1.0
0.55,0.47,0.28,0.0,0.98,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.34,530.0,180.0,6.0,11.8
0.0,0.0,0.0,0.0,0.6,0.4,7.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.85,415.0,180.0,4.0,2.0
0.6,0.7,0.275,0.15,1.0,0.195,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.68,530.0,25.0,0.0,25.0
0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0,0.0,0.0,0.0,93.71,525.0,25.0,1440.0,14.0
0.4,0.075,0.2,0.05,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,520.0,175.0,8.0,10.3
0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.83,470.0,150.0,8.0,8.0
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.78,470.0,170.0,24.0,17.0
0.6,0.4,0.3,0.12,1.01,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.19,500.0,190.0,4.0,8.5
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,170.0,48.0,4.3
0.0,0.0,0.7,0.0,0.35,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.45,530.0,120.0,6.0,3.0
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,170.0,2.0,8.2
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,120.0,0.5,27.0
0.2,0.3,1.55,0.15,2.6,0.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,490.0,120.0,30.0,9.0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,520.0,175.0,8.0,12.0
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88,530.0,25.0,0.0,47.9
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,525.0,175.0,1.0,26.3
0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.518,470.0,120.0,24.0,10.58
0.04,0.05,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.24,0.0,0.0,0.0,0.0,0.0,0.0,94.5,530.0,160.0,150.0,9.0
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,500.0,160.0,18.0,14.0
12.25,1.0,0.9,0.0,1.05,0.1,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,83.55,510.0,170.0,10.0,9.0
0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99,480.0,140.0,96.0,16.4
0.0,0.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.5,510.0,345.0,3.0,1.0
0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.102,500.0,200.0,0.25,22.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.5,0.0,0.0,0.0,0.0,0.0,0.0,96.33,510.0,150.0,24.0,4.2
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,0.0,0.0,0.0,95.45,530.0,185.0,24.0,3.6
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01,500.0,180.0,2.0,28.76
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,91.03,460.0,120.0,24.0,12.2
0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.54,0.0,0.0,0.0,0.0,0.0,0.0,91.28999999999999,510.0,150.0,48.0,1.69
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,500.0,160.0,18.0,7.0
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,100.0,88.0,15.6
1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,505.0,170.0,6.0,14.0
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,93.7,525.0,160.0,14.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,555.0,175.0,8.0,25.0
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15,500.0,205.0,2.0,9.0
0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.102,500.0,200.0,1.5,15.0
0.0,0.0,1.6,0.0,2.5,0.25,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.05,460.0,25.0,0.0,11.0
0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22,0.0,0.0,0.0,89.56,470.0,120.0,48.0,8.9
0.62,0.33,0.28,0.06,0.9,0.17,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,530.0,160.0,18.0,18.0
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,170.0,24.0,3.7
0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0,0.0,0.0,0.0,94.56,525.0,25.0,1440.0,15.1
0.29,0.42,4.2,0.63,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,500.0,25.0,72.0,11.8
0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.475,520.0,175.0,8.0,12.0
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.906,497.0,190.0,16.0,16.0
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15,500.0,160.0,18.0,9.0
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,100.0,64.0,15.1
0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0,0.0,0.0,0.0,93.71,525.0,190.0,10.0,7.6
0.35,1.2,2.2,0.2,1.6,0.0,0.3,0.0,0.06,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,92.89,530.0,185.0,13.0,4.0
0.2,0.57,1.76,0.15,3.64,0.5,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.14,490.0,25.0,0.0,15.0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,525.0,175.0,96.0,16.9
0.4,0.5,2.0,0.3,2.75,0.23,6.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.82,468.0,121.0,24.0,10.0
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,120.0,32.0,22.3
0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.475,520.0,180.0,6.0,12.0
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,100.0,44.0,15.5
0.3,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.77,480.0,25.0,720.0,20.5
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,120.0,16.0,23.8
0.0,0.0,1.6,0.0,2.2,0.22,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.28,510.0,120.0,24.0,13.0
0.0,0.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.5,515.0,342.5,0.0333,2.0
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.67,480.0,120.0,24.0,6.0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.075,525.0,175.0,12.0,19.5
0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99,480.0,140.0,12.0,17.7
0.29,0.42,4.2,0.63,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,500.0,100.0,25.0,15.8
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.78,470.0,175.0,24.0,19.0
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05,495.0,190.0,9.0,5.0
0.0,0.0,10.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.75,520.0,315.0,3.0,1.0
0.6,0.35,0.275,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.625,530.0,160.0,18.0,11.5
0.0,0.0,4.25,0.0,1.18,0.0,0.43,0.0,0.0,0.11,1.18,0.0,0.0,0.0,0.0,0.0,0.0,92.85,500.0,175.0,32.0,7.6
0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,91.32,470.0,120.0,12.0,19.4
0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.83,470.0,150.0,30.0,10.0
0.2,0.3,6.3,0.3,0.02,0.0,0.1,0.1,0.08,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.425,535.0,165.0,24.0,6.0
